Amount.Requested,Amount.Requested,Amount.Funded.By.Investors,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score,Interest.Rate
36283,14000,14000,36,credit_card,21.69%,IL,RENT,3162.25,730-734,12,13579,0,9 years,730,0.079
100086,14000,14000,36,debt_consolidation,13.44%,CA,RENT,7916.67,690-694,16,19621,0,n/a,690,0.1016
3406,20000,3850,36,debt_consolidation,14.63%,NY,RENT,6000,725-729,8,28585,0,10+ years,725,0.1221
4799,17000,15865.55,36,debt_consolidation,6.65%,AZ,MORTGAGE,6333.33,760-764,7,6542,1,7 years,760,0.1114
21789,7350,7350,60,debt_consolidation,29.82%,WA,MORTGAGE,5000,745-749,15,15093,1,4 years,745,0.1074
9281,10000,9500,36,major_purchase,12.93%,NY,RENT,4841.67,775-779,4,0,1,4 years,775,0.1025
8424,20000,19796.41,36,debt_consolidation,8.34%,PA,MORTGAGE,15416.67,710-714,10,46501,0,10+ years,710,0.1136
7967,7000,7000,36,credit_card,5.44%,MN,MORTGAGE,3807.64,760-764,7,7196,0,5 years,760,0.0714
76489,6000,6000,60,other,9.31%,CA,RENT,9583.33,715-719,12,27756,0,2 years,715,0.1212
19321,12000,12000,36,debt_consolidation,12.32%,WI,MORTGAGE,5000,715-719,6,4515,1,7 years,715,0.1
73614,4225,4225,36,small_business,14.52%,NY,MORTGAGE,2583.33,750-754,17,3907,0,4 years,750,0.0603
599,14700,1973.77,36,debt_consolidation,21.94%,CT,RENT,3100,700-704,14,14694,2,8 years,700,0.1229
11084,2500,2500,36,debt_consolidation,6.99%,WI,MORTGAGE,4750,755-759,15,4658,2,4 years,755,0.0676
15135,4800,4775,36,moving,0%,CA,RENT,2500,670-674,4,0,0,2 years,670,0.1484
43572,6000,6000,36,credit_card,22.10%,MI,RENT,5583.33,665-669,9,36748,3,5 years,665,0.1596
62900,6000,6000,36,credit_card,5.65%,AL,MORTGAGE,7083.33,750-754,15,5747,0,4 years,750,0.0603
85201,1800,1800,36,other,6.79%,OK,MORTGAGE,6416.67,670-674,6,3394,2,7 years,670,0.1531
69401,7200,7200,36,debt_consolidation,25.32%,FL,MORTGAGE,3333.33,675-679,13,8903,1,6 years,675,0.158
52823,6000,6000,36,home_improvement,23.89%,TX,MORTGAGE,8000,680-684,8,16139,0,2 years,680,0.1212
93551,15300,14850,36,debt_consolidation,11.31%,OH,MORTGAGE,6833.33,670-674,11,7106,2,10+ years,670,0.1114
2645,5000,5000,36,home_improvement,3.89%,MN,MORTGAGE,2083.33,775-779,4,3901,2,4 years,775,0.0932
62663,10500,10500,36,credit_card,12.33%,PA,MORTGAGE,4583.33,665-669,9,18936,1,5 years,665,0.1777
79948,6625,6625,36,debt_consolidation,11.68%,CA,RENT,10268.25,660-664,9,3563,0,2 years,660,0.1777
71685,16000,16000,60,credit_card,11.27%,CA,RENT,4791.67,665-669,5,8474,0,2 years,665,0.2247
100140,22000,22000,60,debt_consolidation,26.33%,WI,RENT,4166.67,675-679,10,25245,0,5 years,675,0.1629
11304,5000,5000,60,house,10.38%,CA,RENT,6833.33,680-684,11,5045,1,8 years,680,0.1521
89582,20000,20000,36,credit_card,10.79%,IL,RENT,12083.33,680-684,8,25672,0,1 year,680,0.089
23686,1500,1500,36,major_purchase,20.82%,TX,MORTGAGE,7083.33,670-674,8,4665,1,6 years,670,0.1306
28812,8000,8000,36,car,2.86%,CT,MORTGAGE,5666.67,730-734,7,5964,0,10+ years,730,0.0749
57235,18225,18225,60,debt_consolidation,32.19%,AL,MORTGAGE,7166.67,705-709,19,29219,2,4 years,705,0.1629
73371,5000,5000,36,debt_consolidation,8.43%,OH,MORTGAGE,2916.67,740-744,6,12444,1,10+ years,740,0.0762
53062,10000,10000,36,debt_consolidation,10.73%,NC,RENT,2629,685-689,5,10029,0,n/a,685,0.1399
65567,8000,8000,36,small_business,28.56%,MN,RENT,2083.33,670-674,4,9059,0,6 years,670,0.1777
104040,6000,6000,36,debt_consolidation,12.05%,NJ,RENT,6000,720-724,14,25090,4,10+ years,720,0.1075
18942,24250,24225,60,debt_consolidation,22.74%,RI,RENT,5000,685-689,13,14392,1,2 years,685,0.1862
42555,8700,8700,36,home_improvement,5.02%,NY,RENT,14166.67,675-679,11,19036,0,< 1 year,675,0.1269
34403,20400,20375,60,debt_consolidation,10.38%,VA,RENT,6733.33,725-729,8,11149,2,6 years,725,0.1465
47998,9000,9000,36,other,16.14%,MT,RENT,3333.33,740-744,10,8689,0,6 years,740,0.0662
70942,16100,16100,36,debt_consolidation,25.36%,MO,MORTGAGE,6250,715-719,14,9737,0,10+ years,715,0.1114
75067,35000,35000,36,debt_consolidation,11.05%,LA,MORTGAGE,7702,670-674,8,11346,0,10+ years,670,0.21
21036,4600,4600,36,debt_consolidation,9.14%,MO,MORTGAGE,6500,700-704,9,12942,0,7 years,700,0.0766
102309,14400,5325,36,credit_card,23.04%,MO,MORTGAGE,4583.33,685-689,13,17568,4,10+ years,685,0.1418
81788,5000,5000,36,other,13.61%,NY,RENT,3333.33,685-689,10,8436,0,n/a,685,0.1114
60201,5500,5500,36,home_improvement,2.33%,GA,OWN,7500,660-664,3,2530,1,7 years,660,0.1905
11835,25000,15800,60,debt_consolidation,20.23%,PA,MORTGAGE,5416.67,720-724,13,21168,2,10+ years,720,0.1398
72655,5000,5000,36,debt_consolidation,11.18%,AZ,RENT,10625,670-674,8,8054,0,1 year,670,0.1409
51070,10000,10000,36,debt_consolidation,12.04%,CA,RENT,2791.67,710-714,6,12139,1,3 years,710,0.1465
3532,20000,13975,36,home_improvement,2.89%,AL,MORTGAGE,5050,740-744,6,6863,4,10+ years,740,0.1189
19831,10000,10000,36,debt_consolidation,9.59%,MA,RENT,1658,680-684,3,4902,0,< 1 year,680,0.1714
56446,17000,17000,36,debt_consolidation,23.60%,NJ,RENT,5416.67,740-744,16,5992,4,10+ years,740,0.0976
92839,25000,25000,60,credit_card,23.62%,TX,MORTGAGE,5000,665-669,16,25348,1,3 years,665,0.2247
74939,5000,5000,36,debt_consolidation,7.28%,NY,RENT,8666.67,710-714,9,4572,0,1 year,710,0.079
59190,6000,6000,36,credit_card,21.34%,RI,MORTGAGE,5416.67,685-689,19,15107,2,10+ years,685,0.1311
56692,8000,8000,36,credit_card,7.32%,NY,RENT,5833.33,670-674,8,5350,2,4 years,670,0.1727
84593,12000,12000,36,wedding,15.33%,CA,RENT,8666.67,695-699,10,9624,1,1 year,695,0.1409
5724,3000,3000,36,other,13.42%,NY,RENT,4500,720-724,9,2541,2,< 1 year,720,0.0894
15351,5000,5000,60,major_purchase,11.52%,NY,RENT,1667,770-774,6,1108,0,3 years,770,0.0617
70412,3200,3200,36,debt_consolidation,16.17%,CA,MORTGAGE,3750,705-709,9,4283,1,6 years,705,0.1016
77240,7625,7625,36,credit_card,15.79%,NC,RENT,3166.67,670-674,4,8030,0,5 years,670,0.1849
27710,3000,3000,60,other,0%,MN,OWN,1471,690-694,3,0,0,6 years,690,0.2211
25655,5000,5000,36,home_improvement,6.62%,NC,MORTGAGE,3125,730-734,4,7187,1,1 year,730,0.1149
27832,18500,18500,36,debt_consolidation,7.96%,NY,RENT,5000,685-689,6,13490,0,10+ years,685,0.1299
80208,18000,18000,36,debt_consolidation,15.45%,OR,MORTGAGE,4000,690-694,11,13877,0,5 years,690,0.1409
27425,4200,4200,36,car,11.53%,GA,RENT,3000,695-699,11,10067,0,7 years,695,0.1059
21033,5000,4975,36,vacation,2.33%,GA,MORTGAGE,5416.67,725-729,8,2937,1,10+ years,725,0.0729
34961,19000,19000,60,credit_card,13.79%,NJ,MORTGAGE,4791.67,730-734,9,16348,0,5 years,730,0.1171
38145,15000,15000,36,debt_consolidation,7.29%,MD,RENT,7916.67,675-679,5,5355,1,6 years,675,0.1677
77673,18625,18625,60,credit_card,22.98%,AL,RENT,4000,680-684,15,26050,2,9 years,680,0.1972
51812,6075,6075,36,debt_consolidation,28.25%,OR,RENT,1083.33,720-724,8,11539,0,n/a,720,0.0762
94947,12500,12500,36,debt_consolidation,17.67%,TX,MORTGAGE,3916.67,690-694,7,8221,3,10+ years,690,0.1531
49573,5000,5000,36,debt_consolidation,4.91%,CA,RENT,7083.33,665-669,12,8225,1,5 years,665,0.1531
61720,10000,10000,36,credit_card,23.06%,MA,RENT,3083.33,690-694,14,13638,0,3 years,690,0.1212
42743,8000,8000,36,credit_card,20.99%,TX,RENT,3750,660-664,6,4010,0,5 years,660,0.1677
50398,20000,19975,36,debt_consolidation,21.42%,CO,RENT,5000,680-684,12,24352,1,< 1 year,680,0.1581
40343,9600,9600,36,credit_card,15.04%,PA,RENT,4250,685-689,17,7713,1,1 year,685,0.1349
52548,3600,3600,36,credit_card,11.34%,MI,RENT,2108.33,695-699,14,4467,0,n/a,695,0.0976
96704,14075,14075,36,other,12.96%,NY,RENT,3033.33,690-694,6,13036,0,8 years,690,0.1875
10059,3000,3000,36,major_purchase,11.31%,CT,RENT,3500,735-739,9,0,2,3 years,735,0.0751
82534,35000,34975,36,debt_consolidation,25.56%,NY,RENT,9220,760-764,12,40782,1,10+ years,760,0.1016
25767,1700,1700,36,car,5.20%,VA,RENT,2250,750-754,4,4527,0,5 years,750,0.0699
9244,8800,8800,36,other,20.73%,PA,MORTGAGE,4833,790-794,6,306,4,5 years,790,0.0751
6045,24250,23985.41,36,debt_consolidation,17.65%,CA,MORTGAGE,8910.42,740-744,16,81940,0,10+ years,740,0.1218
5073,10750,10166.42,36,credit_card,11.91%,MA,MORTGAGE,4416.67,720-724,9,12619,1,2 years,720,0.1114
38378,6000,6000,36,debt_consolidation,24.85%,CA,MORTGAGE,3264,660-664,13,6347,1,10+ years,660,0.1596
99189,15000,15000,36,credit_card,18.57%,CA,MORTGAGE,5000,700-704,13,33389,0,10+ years,700,0.1016
66604,15000,15000,36,credit_card,16.38%,MD,MORTGAGE,5500,700-704,10,12413,2,3 years,700,0.1433
87649,10000,10000,36,credit_card,14.12%,CA,RENT,7500,680-684,12,3235,0,6 years,680,0.1311
58739,5950,5950,36,credit_card,21.54%,FL,MORTGAGE,5000,690-694,9,47746,0,10+ years,690,0.1212
28808,10000,10000,36,debt_consolidation,8.23%,NY,OWN,5833.33,700-704,15,11620,0,< 1 year,700,0.1099
26877,4000,4000,36,other,10.73%,MA,RENT,2916.67,670-674,6,1651,1,6 years,670,0.1523
13309,15000,14675,36,home_improvement,0.53%,VA,MORTGAGE,10417,780-784,8,1343,1,< 1 year,780,0.0788
6128,10000,9850,36,debt_consolidation,18.60%,NY,RENT,2500,665-669,8,9092,1,< 1 year,665,0.1531
70785,8875,8875,36,other,30.46%,TX,OWN,2166.67,700-704,9,6797,1,2 years,700,0.1311
44672,2400,2400,36,credit_card,11.20%,NY,RENT,2000,705-709,4,3055,0,10+ years,705,0.1074
13054,25000,24950,60,debt_consolidation,18.50%,NJ,RENT,8000,675-679,9,19548,0,3 years,675,0.2053
103426,5500,5500,36,other,19.35%,FL,MORTGAGE,3937.08,685-689,6,689,8,10+ years,685,0.1607
4545,6000,6000,36,credit_card,23.07%,PA,RENT,2916.67,685-689,11,3334,0,2 years,685,0.1253
82722,18000,18000,60,debt_consolidation,6.28%,MD,MORTGAGE,7500,690-694,8,20675,1,10+ years,690,0.1905
40489,28000,27975,36,small_business,5.81%,WA,MORTGAGE,7000,800-804,8,771,2,9 years,800,0.079
49956,32000,32000,60,debt_consolidation,15.14%,AZ,RENT,7055,725-729,8,16174,1,6 years,725,0.1629
69741,6000,6000,36,credit_card,4.53%,NY,RENT,2625,690-694,5,4299,1,10+ years,690,0.1311
65248,7200,7200,60,debt_consolidation,25.16%,LA,MORTGAGE,3750,750-754,13,7283,0,6 years,750,0.089
75785,11500,11500,36,debt_consolidation,10.47%,AL,RENT,2916.67,700-704,6,9562,0,< 1 year,700,0.1114
27764,4800,4800,36,major_purchase,10.23%,FL,MORTGAGE,6333.33,790-794,13,10704,0,10+ years,790,0.0542
43707,4000,4000,36,debt_consolidation,23.40%,NC,MORTGAGE,2333.33,685-689,21,3522,0,7 years,685,0.1065
35025,15000,15000,36,other,14.36%,CA,RENT,9083.33,720-724,11,26902,0,3 years,720,0.1065
28518,15000,15000,36,debt_consolidation,21.04%,TX,MORTGAGE,5319.17,675-679,13,5613,3,2 years,675,0.1799
42228,25000,25000,36,debt_consolidation,1.05%,CA,MORTGAGE,16666.67,705-709,7,2839,0,10+ years,705,0.1242
81620,4800,4800,60,other,27.69%,TX,RENT,1560,680-684,9,6563,0,< 1 year,680,0.1875
37389,9500,9500,36,debt_consolidation,19.28%,GA,MORTGAGE,3583.33,735-739,8,5240,0,10+ years,735,0.0662
3204,15000,6200,36,home_improvement,13.78%,MO,MORTGAGE,8750,705-709,8,21702,3,1 year,705,0.1253
10554,6000,6000,36,debt_consolidation,7.73%,CO,RENT,6250,675-679,6,3507,0,4 years,675,0.1398
94092,12300,12300,36,debt_consolidation,7.15%,VA,RENT,6666.67,740-744,10,10976,0,10+ years,740,0.0603
43387,24000,23950,36,other,17.95%,PA,OWN,4250,755-759,6,19509,0,2 years,755,0.0751
103784,2000,1975,36,other,20.50%,NY,MORTGAGE,6833.33,705-709,19,20653,5,5 years,705,0.1112
54576,14000,14000,36,debt_consolidation,22.55%,NJ,MORTGAGE,8750,710-714,8,25026,0,10+ years,710,0.0976
47468,10000,10000,36,debt_consolidation,5.95%,NJ,OWN,5000,700-704,5,10752,0,4 years,700,0.1212
2578,13000,8113.74,36,small_business,16.14%,TX,MORTGAGE,3500,785-789,6,0,1,1 year,785,0.0963
73765,5000,5000,60,other,11.80%,VA,RENT,5416.67,690-694,7,8745,1,4 years,690,0.1629
36519,6000,5994,36,credit_card,11.68%,VA,RENT,2500,670-674,6,9482,0,2 years,670,0.1242
90239,10050,10050,36,debt_consolidation,6.07%,CA,RENT,2916.67,710-714,9,7413,1,6 years,710,0.1433
45980,4800,4800,36,debt_consolidation,19.07%,OH,RENT,1500,720-724,12,6813,3,< 1 year,720,0.079
55803,14400,14400,36,debt_consolidation,5.90%,CA,MORTGAGE,6833.33,700-704,15,10017,0,10+ years,700,0.1074
98051,11625,11625,36,debt_consolidation,16.73%,CA,RENT,2833.33,695-699,8,17469,0,10+ years,695,0.1531
62884,18200,18200,36,credit_card,7.95%,NY,RENT,4750,720-724,13,16184,2,3 years,720,0.1016
16406,20000,19875,36,debt_consolidation,15.68%,TX,MORTGAGE,9160,710-714,9,32392,1,10+ years,710,0.1335
37065,9600,9575,60,credit_card,12.90%,NY,RENT,3333.33,695-699,7,13648,1,10+ years,695,0.1727
4644,9000,9000,36,car,0.48%,MD,RENT,4833,715-719,6,0,1,4 years,715,0.1183
57169,35000,35000,60,debt_consolidation,27.69%,MD,RENT,8083.33,725-729,15,29300,0,10+ years,725,0.1825
33050,1900,1900,36,debt_consolidation,19.27%,PA,MORTGAGE,6000,735-739,12,18397,2,10+ years,735,0.0751
46324,20000,19896.51,36,debt_consolidation,15.34%,FL,RENT,5166.67,710-714,8,12394,1,6 years,710,0.1367
20367,2400,2400,36,wedding,9.54%,MN,MORTGAGE,3166.67,675-679,6,2174,0,1 year,675,0.1037
36837,4500,4500,36,debt_consolidation,15.87%,CA,MORTGAGE,3333.33,675-679,15,11963,0,6 years,675,0.1171
68829,12000,12000,36,debt_consolidation,19.41%,TX,MORTGAGE,8750,710-714,10,32028,1,4 years,710,0.1212
694,10000,8175.26,36,debt_consolidation,5.91%,GA,MORTGAGE,7500,730-734,16,18343,0,7 years,730,0.0863
61873,11575,11575,36,debt_consolidation,17.47%,TX,MORTGAGE,2833.33,730-734,8,5654,0,10+ years,730,0.079
94081,20000,20000,36,credit_card,21.61%,DC,MORTGAGE,8161.33,720-724,14,27904,1,8 years,720,0.0662
101622,6000,3475,36,debt_consolidation,10.23%,MD,RENT,6500,640-644,6,4103,0,1 year,640,0.147
21900,2800,2800,36,debt_consolidation,20.32%,CA,RENT,3250,700-704,4,8717,0,5 years,700,0.1
70285,6000,6000,36,credit_card,9.93%,CA,RENT,4250,680-684,6,5815,1,3 years,680,0.1409
16069,20000,14750,36,debt_consolidation,15.16%,CO,RENT,9208,735-739,10,20965,0,3 years,735,0.0691
57923,22000,22000,60,debt_consolidation,18.28%,MI,MORTGAGE,6083.33,720-724,9,20181,0,8 years,720,0.1399
99914,10000,10000,36,debt_consolidation,20.34%,MI,RENT,5416.67,675-679,9,8066,0,10+ years,675,0.1311
100662,9450,9450,36,credit_card,11.74%,IL,MORTGAGE,4666.67,690-694,13,17639,2,10+ years,690,0.1212
20530,10400,10325,36,debt_consolidation,13.02%,CA,MORTGAGE,6354,725-729,10,19656,3,10+ years,725,0.0766
20329,15875,15818.07,60,debt_consolidation,22.10%,CA,RENT,3000,720-724,5,14289,2,2 years,720,0.1528
53424,18000,18000,60,other,14.89%,VA,MORTGAGE,8333.33,730-734,7,4038,0,5 years,730,0.1212
47764,8000,8000,36,other,2.93%,NY,RENT,5000,710-714,8,5540,0,2 years,710,0.089
94950,12000,12000,36,moving,20.06%,NY,RENT,4166.67,760-764,8,14163,0,2 years,760,0.1433
15213,20000,12150,60,debt_consolidation,12.36%,NY,OWN,5000,795-799,9,7960,2,10+ years,795,0.0654
38976,10000,10000,36,debt_consolidation,18.55%,CA,RENT,2916.67,660-664,9,7565,3,4 years,660,0.1677
40113,24500,23475,60,debt_consolidation,23.02%,MD,RENT,4497,680-684,13,18906,0,10+ years,680,0.1903
71538,10000,10000,36,debt_consolidation,19.58%,CA,RENT,6250,695-699,17,16348,0,5 years,695,0.1212
48972,3600,3600,36,credit_card,26.21%,OH,MORTGAGE,4166.67,735-739,19,25,2,3 years,735,0.079
31876,12000,12000,60,debt_consolidation,6.94%,OR,MORTGAGE,5445,670-674,8,4904,0,9 years,670,0.1749
48894,6950,6950,36,credit_card,20.71%,IL,OWN,4583.33,685-689,7,18814,0,10+ years,685,0.1074
74320,8525,8525,36,debt_consolidation,26.14%,MT,MORTGAGE,4583.33,705-709,8,31398,0,10+ years,705,0.1016
65600,5000,5000,36,credit_card,28.51%,CO,RENT,2750,690-694,14,5957,2,3 years,690,0.1433
38529,4800,4800,60,debt_consolidation,13.81%,OR,RENT,3750,695-699,13,16302,0,10+ years,695,0.1825
18088,6000,6000,36,debt_consolidation,21.36%,NV,MORTGAGE,5000,665-669,11,4363,3,10+ years,665,0.1335
47960,4000,4000,60,small_business,9.03%,VA,RENT,3700,680-684,19,2177,2,2 years,680,0.1922
48295,14000,14000,36,debt_consolidation,14.67%,CA,RENT,7500,745-749,12,16648,0,10+ years,745,0.0603
46245,23500,23450,36,debt_consolidation,19.48%,CA,RENT,4000,685-689,7,20542,0,n/a,685,0.1465
13454,2500,2500,36,major_purchase,24.07%,CA,MORTGAGE,1500,665-669,10,2684,3,1 year,665,0.1595
16524,2000,2000,36,major_purchase,2.63%,CA,RENT,1600,745-749,9,736,0,3 years,745,0.0617
92631,24000,23925,60,credit_card,11.77%,NJ,MORTGAGE,7800,675-679,11,20676,3,2 years,675,0.1629
14193,12800,12800,60,debt_consolidation,6.72%,CT,MORTGAGE,4166.67,725-729,7,11992,1,1 year,725,0.1149
51829,8000,8000,36,wedding,21.58%,CA,RENT,5166.67,725-729,5,0,0,1 year,725,0.079
31000,3000,3000,36,credit_card,21.30%,MO,OWN,2333.33,710-714,10,3168,1,1 year,710,0.0999
86532,7000,7000,36,credit_card,1.41%,FL,RENT,12500,725-729,4,5093,0,7 years,725,0.079
8102,18000,17975,36,credit_card,6.24%,IL,MORTGAGE,8333.33,690-694,13,14838,0,10+ years,690,0.1348
3112,9000,5975,36,debt_consolidation,8.21%,CA,MORTGAGE,4167,670-674,7,19696,1,3 years,670,0.1411
31448,11000,11000,36,debt_consolidation,4.26%,SC,MORTGAGE,6666.67,695-699,11,4124,0,4 years,695,0.1099
51408,6000,6000,36,major_purchase,14.99%,IL,RENT,4416.67,720-724,10,2928,0,2 years,720,0.079
6646,6500,6475,36,debt_consolidation,18%,NH,RENT,1500,785-789,5,2816,0,2 years,785,0.0774
87572,19500,19500,36,credit_card,9.79%,MD,RENT,10000,675-679,16,14957,1,2 years,675,0.1849
33225,16000,16000,60,major_purchase,19.26%,MD,RENT,7000,695-699,7,5231,1,10+ years,695,0.1727
93794,18000,17950,60,debt_consolidation,13.98%,KS,MORTGAGE,12916.67,685-689,11,14890,2,10+ years,685,0.1433
54455,30000,29975,60,debt_consolidation,17.39%,FL,MORTGAGE,7083.33,665-669,21,56145,1,10+ years,665,0.2333
93742,10000,10000,36,debt_consolidation,5.82%,LA,RENT,8750,660-664,14,11394,0,3 years,660,0.1409
12860,16000,15900,60,debt_consolidation,12.86%,WA,MORTGAGE,5427.42,700-704,11,19407,1,5 years,700,0.1558
41993,35000,35000,36,debt_consolidation,11.80%,MA,MORTGAGE,13333.33,690-694,12,21393,1,10+ years,690,0.1758
18447,8000,8000,36,wedding,9.67%,TX,RENT,7758.33,665-669,6,12110,1,2 years,665,0.1372
71782,14500,14500,36,debt_consolidation,28.29%,WA,MORTGAGE,5988.67,700-704,12,18020,2,10+ years,700,0.1311
7789,12000,11925,36,other,19.02%,VA,RENT,5000,720-724,9,11779,0,1 year,720,0.1062
19675,4500,4500,36,car,1.23%,CA,RENT,11500,670-674,5,1847,1,1 year,670,0.1343
5858,16500,16350,36,debt_consolidation,17.44%,TX,RENT,4810.08,725-729,7,24351,1,3 years,725,0.1183
43307,10000,10000,36,debt_consolidation,14.32%,MN,MORTGAGE,3666.67,705-709,9,17161,0,1 year,705,0.0991
88490,35000,35000,60,credit_card,13.40%,CA,MORTGAGE,9166.67,690-694,7,26633,0,1 year,690,0.1905
101891,21000,6165.31,36,home_improvement,21.28%,CA,OWN,18333.33,745-749,31,270800,5,2 years,745,0.1109
102234,8400,6725,36,debt_consolidation,15.71%,MD,RENT,7083.33,640-644,7,14578,3,< 1 year,640,0.1545
65443,6000,6000,36,credit_card,9.31%,TX,OWN,1750,705-709,14,5056,0,6 years,705,0.079
47597,12000,12000,36,debt_consolidation,14.62%,CT,OWN,4166.67,665-669,3,6309,0,6 years,665,0.1922
30397,12100,12100,36,small_business,11.16%,TX,MORTGAGE,6166.67,665-669,5,2081,0,4 years,665,0.1689
92868,25000,25000,36,home_improvement,4.79%,MD,MORTGAGE,6833.33,675-679,5,8811,0,8 years,675,0.1409
89683,16000,15925,36,debt_consolidation,14.48%,CA,MORTGAGE,7333.33,780-784,11,71838,1,10+ years,780,0.0603
48006,27000,27000,36,home_improvement,22.32%,SC,MORTGAGE,8583.33,690-694,9,6658,1,8 years,690,0.1825
66892,12250,12250,36,debt_consolidation,17.21%,LA,OWN,2916.67,665-669,7,10523,0,7 years,665,0.1875
79618,10000,10000,36,debt_consolidation,22.60%,AZ,RENT,2500,665-669,12,12938,2,4 years,665,0.1777
55180,9175,9175,36,credit_card,19.43%,IL,MORTGAGE,7083.33,675-679,8,25639,0,8 years,675,0.1367
75159,14075,14075,36,debt_consolidation,25.70%,VA,OWN,4000,680-684,13,11907,2,5 years,680,0.1531
48624,13100,13100,36,debt_consolidation,23.24%,NY,RENT,7968.75,660-664,19,19607,1,10+ years,660,0.1855
75022,14675,14675,36,debt_consolidation,14.95%,NY,MORTGAGE,4000,715-719,6,12764,0,7 years,715,0.089
5733,5000,4900,36,major_purchase,2.84%,FL,RENT,3200,710-714,6,2650,2,3 years,710,0.1114
92795,18000,18000,36,debt_consolidation,26.54%,OR,MORTGAGE,4166.67,670-674,11,16680,0,10+ years,670,0.1311
94514,12000,12000,36,debt_consolidation,15.10%,CO,RENT,5666.67,775-779,7,12094,0,10+ years,775,0.0762
83906,19400,19400,36,debt_consolidation,16.15%,MA,MORTGAGE,4583.33,680-684,12,12434,0,7 years,680,0.1433
93318,18000,18000,36,debt_consolidation,19.29%,IL,RENT,3333.33,665-669,15,26573,0,10+ years,665,0.1212
62203,12000,12000,36,debt_consolidation,9.84%,NY,MORTGAGE,7500,665-669,11,15866,0,7 years,665,0.1777
60969,8000,8000,36,debt_consolidation,26.11%,MN,MORTGAGE,4166.67,675-679,15,11500,0,< 1 year,675,0.1311
94593,23750,23750,60,debt_consolidation,14.22%,CT,RENT,8333.33,710-714,12,10549,3,2 years,710,0.1972
12932,7500,7475,36,debt_consolidation,10.74%,VA,MORTGAGE,5000,695-699,8,8257,0,2 years,695,0.1558
37813,5500,5500,36,debt_consolidation,21.24%,OH,RENT,1666.67,680-684,7,5056,1,< 1 year,680,0.1269
70028,16950,16950,60,debt_consolidation,26.62%,OK,MORTGAGE,3583.33,710-714,7,12588,3,10+ years,710,0.1727
80138,3000,2950,36,major_purchase,27.74%,VA,MORTGAGE,4333.33,715-719,6,6346,0,5 years,715,0.1114
26033,1600,1600,36,debt_consolidation,12.10%,CA,RENT,3200,670-674,5,1214,0,6 years,670,0.1349
26950,6000,6000,36,home_improvement,14.66%,NC,MORTGAGE,5833.33,715-719,12,7961,0,9 years,715,0.0749
86660,7350,7350,36,debt_consolidation,19.85%,CA,OWN,3355.05,695-699,19,11626,3,10+ years,695,0.1212
97487,12825,12825,36,debt_consolidation,24.41%,CA,MORTGAGE,3416.67,670-674,15,8539,1,10+ years,670,0.1777
88522,24000,23975,60,debt_consolidation,23.69%,OK,MORTGAGE,6500,685-689,17,36555,3,6 years,685,0.21
64166,10000,10000,60,debt_consolidation,16.47%,FL,RENT,4104.67,695-699,5,7597,0,5 years,695,0.1849
68487,5500,5500,36,debt_consolidation,27.83%,WV,OWN,1541.67,675-679,5,10481,1,n/a,675,0.1433
15014,17500,17500,36,debt_consolidation,9.30%,CA,RENT,9519.75,695-699,9,31279,0,10+ years,695,0.1472
98373,10000,10000,36,credit_card,19.01%,OH,MORTGAGE,7500,680-684,11,14426,1,9 years,680,0.1311
17664,20000,16275,36,debt_consolidation,12.27%,MD,MORTGAGE,8083.33,770-774,13,29813,1,10+ years,770,0.0617
31943,11600,11600,36,debt_consolidation,8.62%,CA,RENT,5833.33,735-739,8,2671,1,< 1 year,735,0.0699
29365,12000,12000,60,debt_consolidation,12.98%,CT,RENT,4166.67,715-719,8,2316,1,3 years,715,0.1399
1800,13000,6770.1,36,small_business,14.05%,CA,MORTGAGE,7666.67,720-724,8,9551,0,9 years,720,0.1126
57003,8575,8550,36,debt_consolidation,9.84%,NY,RENT,2500,665-669,6,8807,2,7 years,665,0.1727
66296,6100,6100,36,credit_card,9.51%,LA,RENT,6666.67,685-689,10,5665,2,2 years,685,0.1409
49473,14000,14000,36,credit_card,14.26%,PA,MORTGAGE,5000,680-684,5,11249,2,10+ years,680,0.1531
92016,10500,10500,36,debt_consolidation,19.55%,FL,MORTGAGE,5666.67,670-674,7,11301,0,10+ years,670,0.1433
82922,19600,19525,60,small_business,9.76%,CA,RENT,4170,675-679,8,11669,0,4 years,675,0.2149
98272,15000,15000,36,credit_card,10.27%,NV,RENT,3333.33,670-674,11,10108,0,4 years,670,0.158
94925,8000,8000,36,other,5.28%,AZ,MORTGAGE,5833.33,725-729,11,12484,1,10+ years,725,0.1727
70905,20000,20000,36,debt_consolidation,27.47%,TX,MORTGAGE,7750,660-664,15,26976,0,2 years,660,0.2149
6723,11000,10969.64,36,debt_consolidation,18.89%,IL,RENT,3500,700-704,6,6811,1,2 years,700,0.1253
102775,6000,5905.66,36,credit_card,6.60%,MI,RENT,4166.67,675-679,5,3433,1,2 years,675,0.179
84633,12000,12000,36,debt_consolidation,3.11%,CA,MORTGAGE,10833.33,705-709,12,11941,0,2 years,705,0.1114
58263,17000,17000,36,debt_consolidation,16.92%,CA,RENT,5083.33,690-694,10,8890,0,7 years,690,0.1311
