Logit.Interest.Rate,Intercept,Amount.Requested,FICO.Score,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
1,1,20000,680,36,debt_consolidation,21.42%,CO,RENT,5000,680-684,12,24352,1,< 1 year
1,1,10000,680,36,credit_card,14.12%,CA,RENT,7500,680-684,12,3235,0,6 years
1,1,4800,680,60,other,27.69%,TX,RENT,1560,680-684,9,6563,0,< 1 year
1,1,6000,680,36,credit_card,9.93%,CA,RENT,4250,680-684,6,5815,1,3 years
1,1,24500,680,60,debt_consolidation,23.02%,MD,RENT,4497,680-684,13,18906,0,10+ years
1,1,4000,680,60,small_business,9.03%,VA,RENT,3700,680-684,19,2177,2,2 years
1,1,14075,680,36,debt_consolidation,25.70%,VA,OWN,4000,680-684,13,11907,2,5 years
1,1,19400,680,36,debt_consolidation,16.15%,MA,MORTGAGE,4583.33,680-684,12,12434,0,7 years
1,1,5500,680,36,debt_consolidation,21.24%,OH,RENT,1666.67,680-684,7,5056,1,< 1 year
1,1,10000,680,36,credit_card,19.01%,OH,MORTGAGE,7500,680-684,11,14426,1,9 years
1,1,14000,680,36,credit_card,14.26%,PA,MORTGAGE,5000,680-684,5,11249,2,10+ years
1,1,30000,680,36,debt_consolidation,15.42%,NJ,RENT,8333.33,680-684,21,29060,1,8 years
1,1,3800,680,36,small_business,8.31%,CA,RENT,4333.33,680-684,6,4843,2,7 years
1,1,6000,680,36,debt_consolidation,24.25%,AZ,RENT,4000,680-684,12,24934,1,10+ years
1,1,2500,680,36,credit_card,6.24%,NY,RENT,5416.67,680-684,8,15373,0,6 years
1,1,14000,680,36,debt_consolidation,3.47%,CA,MORTGAGE,8750,680-684,6,9035,1,10+ years
1,1,19600,680,36,other,29.38%,NY,RENT,4166.67,680-684,17,22053,1,3 years
1,1,27575,680,60,debt_consolidation,18.28%,WA,MORTGAGE,7833.33,680-684,20,28055,2,7 years
1,1,35000,680,36,debt_consolidation,15%,NJ,RENT,6666.67,680-684,22,33472,0,10+ years
1,1,15000,680,36,other,2.68%,IL,OWN,2500,680-684,6,3004,2,1 year
1,1,13225,680,36,debt_consolidation,27.07%,CA,RENT,5833.33,680-684,11,18569,1,10+ years
1,1,12000,680,36,debt_consolidation,6.46%,NY,RENT,13166.67,680-684,8,8426,0,5 years
1,1,6500,680,36,credit_card,24.97%,TX,OWN,3500,680-684,7,6948,0,1 year
1,1,10000,680,36,debt_consolidation,12.24%,NJ,RENT,2541.67,680-684,4,13667,0,8 years
1,1,19750,680,36,debt_consolidation,24.14%,VA,MORTGAGE,5166.67,680-684,12,33368,2,10+ years
1,1,10000,680,36,other,16.40%,TX,RENT,2250,680-684,3,13398,4,10+ years
1,1,15000,680,36,credit_card,14.92%,MA,RENT,6294.25,680-684,11,20270,1,3 years
1,1,7200,680,36,debt_consolidation,18.61%,CA,OWN,3208.33,680-684,8,9849,0,1 year
1,1,10000,680,36,debt_consolidation,26.32%,CO,RENT,2500,680-684,6,17543,1,7 years
1,1,2800,680,36,debt_consolidation,0%,MD,MORTGAGE,3458,680-684,3,0,2,10+ years
1,1,3000,680,36,major_purchase,14.93%,FL,RENT,6333.33,680-684,13,8682,0,4 years
1,1,12000,680,36,debt_consolidation,21.81%,TX,MORTGAGE,5833.33,680-684,10,11074,3,2 years
1,1,9000,680,36,debt_consolidation,12.67%,IL,RENT,3466.67,680-684,13,11103,0,7 years
1,1,10000,680,36,debt_consolidation,24.47%,MN,RENT,3583.33,680-684,16,10193,0,2 years
1,1,30075,680,60,debt_consolidation,21.54%,WI,MORTGAGE,5083.33,680-684,17,20976,1,4 years
1,1,15000,680,36,house,4.32%,AL,MORTGAGE,8833.33,680-684,6,113,3,8 years
1,1,21000,680,60,credit_card,13.87%,IL,MORTGAGE,6000,680-684,10,17008,1,10+ years
1,1,9600,680,60,debt_consolidation,10.27%,DE,RENT,5500,680-684,8,8359,2,3 years
1,1,16000,680,60,credit_card,21.28%,NC,RENT,3416.67,680-684,8,26060,1,10+ years
1,1,3000,680,36,debt_consolidation,12.36%,NC,RENT,4789.33,680-684,9,1353,2,10+ years
1,1,11625,680,36,debt_consolidation,31.12%,OK,RENT,2860,680-684,14,8374,2,7 years
1,1,16750,680,36,debt_consolidation,8.84%,FL,MORTGAGE,5666.67,680-684,8,13567,1,4 years
1,1,16000,680,60,debt_consolidation,16.66%,MO,MORTGAGE,5500,680-684,6,6842,0,9 years
1,1,12000,680,36,debt_consolidation,32.91%,CA,RENT,5500,680-684,21,13559,1,3 years
1,1,16000,680,36,debt_consolidation,20.62%,FL,RENT,5416.67,680-684,13,14246,1,< 1 year
1,1,13200,680,36,debt_consolidation,8.61%,KY,MORTGAGE,3333.33,680-684,10,5400,3,10+ years
1,1,19000,680,60,credit_card,19.85%,NY,RENT,4500,680-684,13,11388,1,3 years
1,1,6650,680,60,debt_consolidation,17.12%,OH,MORTGAGE,3084,680-684,16,5646,2,3 years
1,1,8000,680,36,wedding,16.73%,TX,MORTGAGE,3521,680-684,13,4075,0,3 years
1,1,4575,680,36,credit_card,14.31%,MS,OTHER,5833.33,680-684,25,82586,2,2 years
1,1,12000,680,36,debt_consolidation,16.29%,NV,MORTGAGE,6250,680-684,13,13528,1,7 years
1,1,7800,680,36,other,21.89%,CA,RENT,2508.33,680-684,5,25780,0,< 1 year
1,1,20800,680,60,credit_card,15.50%,TX,RENT,6916.67,680-684,20,28764,1,10+ years
1,1,8400,680,36,debt_consolidation,11.95%,NC,MORTGAGE,4166.67,680-684,10,16634,1,10+ years
1,1,14000,680,36,credit_card,11.35%,AZ,RENT,7333.33,680-684,7,6229,1,< 1 year
1,1,10000,680,36,debt_consolidation,14.57%,NV,MORTGAGE,6307.42,680-684,11,18823,0,10+ years
1,1,7050,680,36,debt_consolidation,14.05%,PA,MORTGAGE,5624,680-684,6,2530,3,4 years
1,1,10000,680,36,debt_consolidation,18.96%,CA,RENT,8744.26,680-684,16,27086,0,< 1 year
1,1,4200,680,36,major_purchase,13.82%,NJ,MORTGAGE,6500,680-684,14,23653,1,10+ years
1,1,15000,680,36,small_business,7.85%,NJ,RENT,15416.67,680-684,17,8962,1,6 years
1,1,1550,680,36,other,11.21%,CA,RENT,5083.33,680-684,9,5755,0,6 years
1,1,12000,680,60,major_purchase,9.74%,TX,RENT,5000,680-684,9,6852,1,3 years
1,1,8000,680,36,other,18.62%,CO,OWN,3083.33,680-684,14,1669,2,4 years
1,1,1400,680,36,medical,3.05%,OR,RENT,2750,680-684,3,1276,0,1 year
1,1,5000,680,60,car,4.17%,WI,MORTGAGE,3000,680-684,4,760,1,10+ years
1,1,13600,680,36,debt_consolidation,20.37%,HI,RENT,3666.67,680-684,14,20411,0,4 years
1,1,4800,680,36,other,16.94%,MD,RENT,4800,680-684,7,2770,0,< 1 year
1,1,10000,680,36,debt_consolidation,26.87%,CO,RENT,3166.67,680-684,6,7271,0,7 years
1,1,14000,680,36,credit_card,16.78%,CA,RENT,5500,680-684,10,4919,0,7 years
1,1,25000,680,60,debt_consolidation,8.76%,NJ,RENT,6250,680-684,5,17213,0,9 years
1,1,4550,680,36,medical,17.46%,CA,RENT,10833.33,680-684,10,66461,0,< 1 year
1,1,10000,680,36,debt_consolidation,19.17%,WI,RENT,3750,680-684,8,9969,2,< 1 year
1,1,10000,680,36,debt_consolidation,23.35%,CO,MORTGAGE,6000,680-684,34,19424,1,5 years
1,1,21000,680,60,debt_consolidation,31.48%,MO,RENT,4583.33,680-684,13,32616,1,10+ years
1,1,16000,680,60,debt_consolidation,24.85%,IL,MORTGAGE,5416.67,680-684,10,9638,0,10+ years
1,1,2000,680,36,major_purchase,14.11%,NV,RENT,3750,680-684,4,1485,0,3 years
1,1,12800,680,36,vacation,17.76%,TX,RENT,10000,680-684,13,5792,1,10+ years
1,1,11200,680,36,home_improvement,18.07%,CT,MORTGAGE,2773.33,680-684,6,6720,3,5 years
1,1,28000,680,60,debt_consolidation,16.56%,TX,MORTGAGE,10166.67,680-684,12,43182,1,4 years
1,1,7200,680,36,credit_card,29.38%,CA,RENT,4166.67,680-684,12,5165,0,10+ years
1,1,21850,680,60,credit_card,20.32%,LA,RENT,4400,680-684,7,9171,0,4 years
1,1,6250,680,36,debt_consolidation,19.70%,FL,RENT,4248.33,680-684,9,9991,2,< 1 year
1,1,6000,680,36,debt_consolidation,19.68%,NJ,RENT,7500,680-684,6,6686,1,10+ years
1,1,12000,680,36,credit_card,13.99%,AZ,MORTGAGE,2916.67,680-684,10,13576,0,5 years
1,1,25475,680,60,debt_consolidation,21.98%,FL,RENT,5000.67,680-684,17,24081,1,< 1 year
1,1,7800,680,36,credit_card,15.56%,FL,MORTGAGE,5000,680-684,8,12889,0,5 years
1,1,15000,680,36,debt_consolidation,15.58%,WV,RENT,6666.67,680-684,11,23226,1,2 years
1,1,1950,680,36,other,15.08%,CA,RENT,2600,680-684,6,4100,1,3 years
1,1,6800,680,36,debt_consolidation,15.43%,NC,RENT,2708.33,680-684,5,2964,0,1 year
1,1,11100,680,36,debt_consolidation,12.03%,WA,MORTGAGE,2666.67,680-684,12,8990,0,10+ years
1,1,14400,680,36,credit_card,10.75%,CA,RENT,5000,680-684,13,19772,0,8 years
1,1,6000,680,60,debt_consolidation,9.04%,NY,RENT,2400,680-684,7,7261,2,2 years
1,1,16400,680,36,small_business,17.43%,VA,MORTGAGE,6074.17,680-684,14,23831,2,1 year
1,1,2000,680,36,debt_consolidation,28.46%,MI,MORTGAGE,3513.33,680-684,18,23635,3,10+ years
1,1,10000,680,36,debt_consolidation,18.14%,CA,RENT,4166.67,680-684,9,10545,1,3 years
1,1,10000,680,36,credit_card,22.08%,NY,RENT,6000,680-684,8,11088,0,3 years
1,1,4000,680,36,moving,22.09%,CA,RENT,5600,680-684,8,7900,1,5 years
1,1,8600,680,36,credit_card,9.09%,CA,RENT,4500,680-684,6,11183,0,5 years
1,1,4000,680,36,small_business,18.44%,AL,RENT,2250,680-684,7,1955,0,< 1 year
1,1,18825,680,60,debt_consolidation,19.22%,CT,RENT,4583.33,680-684,8,17292,2,10+ years
1,1,15000,680,36,debt_consolidation,27.25%,TX,MORTGAGE,7500,680-684,13,27872,0,10+ years
1,1,5400,680,36,debt_consolidation,15.42%,CA,RENT,1666.67,680-684,6,2533,0,4 years
1,1,4800,680,36,medical,7.39%,OH,RENT,5833.33,680-684,9,170,2,1 year
1,1,4825,680,36,debt_consolidation,4.76%,CT,MORTGAGE,5416.67,680-684,8,6883,0,8 years
1,1,10000,680,60,debt_consolidation,12.54%,MA,RENT,4417,680-684,9,6630,2,3 years
1,1,5200,680,36,debt_consolidation,23.18%,CA,MORTGAGE,5000,680-684,17,28118,2,5 years
1,1,8875,680,36,debt_consolidation,30.15%,NC,RENT,2291.67,680-684,11,11798,1,2 years
1,1,14000,680,36,credit_card,9.37%,DC,RENT,7916.67,680-684,3,13522,0,< 1 year
1,1,6000,680,36,credit_card,8.16%,PA,RENT,3333.33,680-684,6,8442,0,10+ years
1,1,10375,680,36,debt_consolidation,26.42%,MD,RENT,2479.17,680-684,6,13411,0,5 years
1,1,10000,680,36,debt_consolidation,14.61%,CA,RENT,3750,680-684,18,13051,1,5 years
1,1,17475,680,36,debt_consolidation,14.82%,NC,MORTGAGE,4500,680-684,10,12588,0,10+ years
1,1,10000,680,36,debt_consolidation,12.63%,CA,RENT,7166.67,680-684,11,10309,1,< 1 year
1,1,8500,680,36,debt_consolidation,14.68%,IL,RENT,5000,680-684,9,0,9,10+ years
1,1,24000,680,60,debt_consolidation,22.58%,NC,MORTGAGE,5416.67,680-684,12,13066,0,1 year
1,1,10000,680,36,debt_consolidation,16.52%,CO,OTHER,4583,680-684,16,18707,1,3 years
1,1,15000,680,60,debt_consolidation,16.69%,CA,RENT,5250,680-684,7,8615,1,2 years
1,1,20000,680,60,small_business,15.41%,MO,MORTGAGE,6250,680-684,5,3105,1,10+ years
1,1,16200,680,60,debt_consolidation,7.92%,PA,MORTGAGE,4833.33,680-684,12,12313,2,10+ years
1,1,10000,680,36,debt_consolidation,4.89%,PA,MORTGAGE,2166.67,680-684,4,4544,0,10+ years
0,1,6400,680,36,credit_card,14.88%,VA,RENT,4166.67,680-684,7,15055,0,1 year
0,1,3000,680,36,small_business,4.34%,IL,OWN,4350,680-684,3,8414,4,10+ years
0,1,10000,680,36,other,21.89%,CA,MORTGAGE,3417,680-684,13,18069,0,4 years
0,1,20000,680,36,credit_card,10.79%,IL,RENT,12083.33,680-684,8,25672,0,1 year
0,1,5000,680,36,major_purchase,0.47%,PA,RENT,3166.67,680-684,5,4254,5,< 1 year
0,1,15600,680,36,debt_consolidation,6.65%,CA,MORTGAGE,15000,680-684,14,20237,3,2 years
0,1,4800,680,36,credit_card,13.19%,MD,MORTGAGE,7083.33,680-684,21,44198,0,10+ years
0,1,6500,680,36,credit_card,13.98%,WY,MORTGAGE,2253,680-684,11,7558,1,2 years
0,1,2500,680,36,debt_consolidation,9.98%,RI,RENT,6250,680-684,10,11131,3,10+ years
0,1,4200,680,36,debt_consolidation,15.97%,IL,RENT,6041.67,680-684,11,5913,0,8 years
0,1,2250,680,36,car,17.97%,GA,OWN,5833.33,680-684,12,14637,0,2 years
1,1,14675,685,36,credit_card,26.92%,CA,RENT,3150,685-689,9,7246,1,8 years
1,1,23850,685,60,debt_consolidation,28.81%,LA,MORTGAGE,5833.33,685-689,19,25968,3,9 years
1,1,14000,685,36,debt_consolidation,14.93%,CA,MORTGAGE,10583.33,685-689,9,35457,0,2 years
1,1,16000,685,60,car,11.94%,WV,RENT,5250,685-689,14,154,1,3 years
1,1,7000,685,36,debt_consolidation,16.76%,NJ,RENT,3650,685-689,12,6444,1,5 years
1,1,20000,685,36,debt_consolidation,11.85%,CA,RENT,9166.67,685-689,10,12421,3,< 1 year
1,1,6000,685,36,debt_consolidation,15.33%,KS,RENT,3333.33,685-689,7,12503,2,2 years
1,1,8000,685,36,debt_consolidation,14.92%,CO,RENT,5000,685-689,18,4786,1,2 years
1,1,10000,685,36,credit_card,7.56%,PA,RENT,2500,685-689,8,10906,0,7 years
1,1,10000,685,36,debt_consolidation,18.40%,CA,MORTGAGE,5000,685-689,7,13202,0,10+ years
1,1,12000,685,60,credit_card,22.31%,CA,RENT,4186,685-689,9,9398,0,3 years
1,1,16450,685,36,debt_consolidation,11.66%,OH,MORTGAGE,6666.67,685-689,8,12697,3,9 years
1,1,23000,685,36,debt_consolidation,25.84%,MD,MORTGAGE,6625,685-689,17,19870,1,3 years
1,1,9950,685,36,debt_consolidation,4.19%,NJ,MORTGAGE,4800,685-689,9,5038,1,5 years
1,1,6000,685,36,debt_consolidation,19.97%,PA,MORTGAGE,5833.33,685-689,6,5523,1,1 year
1,1,10000,685,36,debt_consolidation,15.02%,RI,MORTGAGE,6000,685-689,13,8178,0,8 years
1,1,17475,685,60,debt_consolidation,22.95%,IL,MORTGAGE,4583.33,685-689,13,15852,3,10+ years
1,1,7500,685,36,car,4.92%,CA,RENT,4000,685-689,3,8398,0,7 years
1,1,20000,685,60,credit_card,9.72%,CA,MORTGAGE,10000,685-689,8,106527,0,10+ years
1,1,14750,685,60,debt_consolidation,17.32%,NM,MORTGAGE,2500,685-689,8,11003,1,8 years
1,1,5375,685,36,car,15.05%,TX,MORTGAGE,5416.67,685-689,13,4087,2,1 year
1,1,7500,685,36,educational,21.34%,CA,MORTGAGE,8750,685-689,14,20947,7,5 years
1,1,6000,685,36,debt_consolidation,12.40%,WA,RENT,1000,685-689,18,3622,2,1 year
1,1,8000,685,36,credit_card,27.34%,CA,RENT,3500,685-689,19,16395,2,7 years
1,1,4000,685,36,credit_card,11.80%,NY,RENT,5416.67,685-689,12,6616,1,1 year
1,1,15475,685,36,debt_consolidation,26.98%,SC,MORTGAGE,3750,685-689,14,19670,0,10+ years
1,1,9600,685,36,credit_card,33.24%,AR,RENT,3166.67,685-689,8,14774,3,2 years
1,1,12000,685,36,credit_card,8.05%,FL,MORTGAGE,3416.67,685-689,6,7708,0,4 years
1,1,10000,685,60,home_improvement,14.80%,WV,RENT,2290,685-689,5,394,2,n/a
1,1,12000,685,36,debt_consolidation,20.48%,NV,MORTGAGE,7666.67,685-689,10,5832,0,2 years
1,1,10000,685,36,debt_consolidation,10.73%,NC,RENT,2629,685-689,5,10029,0,n/a
1,1,24250,685,60,debt_consolidation,22.74%,RI,RENT,5000,685-689,13,14392,1,2 years
1,1,14400,685,36,credit_card,23.04%,MO,MORTGAGE,4583.33,685-689,13,17568,4,10+ years
1,1,6000,685,36,credit_card,21.34%,RI,MORTGAGE,5416.67,685-689,19,15107,2,10+ years
1,1,18500,685,36,debt_consolidation,7.96%,NY,RENT,5000,685-689,6,13490,0,10+ years
1,1,9600,685,36,credit_card,15.04%,PA,RENT,4250,685-689,17,7713,1,1 year
1,1,5500,685,36,other,19.35%,FL,MORTGAGE,3937.08,685-689,6,689,8,10+ years
1,1,6000,685,36,credit_card,23.07%,PA,RENT,2916.67,685-689,11,3334,0,2 years
1,1,23500,685,36,debt_consolidation,19.48%,CA,RENT,4000,685-689,7,20542,0,n/a
1,1,18000,685,60,debt_consolidation,13.98%,KS,MORTGAGE,12916.67,685-689,11,14890,2,10+ years
1,1,24000,685,60,debt_consolidation,23.69%,OK,MORTGAGE,6500,685-689,17,36555,3,6 years
1,1,6100,685,36,credit_card,9.51%,LA,RENT,6666.67,685-689,10,5665,2,2 years
1,1,21000,685,60,debt_consolidation,16.24%,TX,RENT,8416.67,685-689,8,8764,2,5 years
1,1,12000,685,60,debt_consolidation,10.71%,MD,MORTGAGE,3500,685-689,6,26874,0,10+ years
1,1,25000,685,36,debt_consolidation,13%,CA,RENT,5416.67,685-689,10,22824,0,6 years
1,1,7150,685,36,debt_consolidation,12.33%,IL,RENT,3666.67,685-689,11,10561,1,< 1 year
1,1,7100,685,36,credit_card,19.22%,OH,RENT,4166.67,685-689,13,6788,2,2 years
1,1,30000,685,60,debt_consolidation,21.92%,CT,RENT,10416.67,685-689,11,61661,1,7 years
1,1,9250,685,36,debt_consolidation,29.46%,TX,MORTGAGE,3333.33,685-689,10,5440,0,10+ years
1,1,30000,685,60,debt_consolidation,30.56%,HI,RENT,7500,685-689,12,29756,0,10+ years
1,1,8800,685,60,debt_consolidation,13.89%,KY,RENT,2916.67,685-689,5,7794,2,2 years
1,1,7000,685,36,credit_card,15.11%,CA,RENT,7083.33,685-689,15,16049,2,10+ years
1,1,12000,685,36,debt_consolidation,10.84%,NJ,RENT,7083.33,685-689,11,20601,0,4 years
1,1,12000,685,36,debt_consolidation,13.53%,CA,MORTGAGE,8000,685-689,13,12968,1,3 years
1,1,13600,685,36,credit_card,20.94%,WA,MORTGAGE,5416.67,685-689,15,17117,0,10+ years
1,1,1500,685,36,other,13.59%,TX,RENT,3583.33,685-689,7,4747,1,< 1 year
1,1,10000,685,36,credit_card,15.60%,MI,OWN,3833.33,685-689,6,4734,0,10+ years
1,1,10000,685,60,car,8.93%,CA,RENT,4300,685-689,4,37,1,10+ years
1,1,15000,685,60,debt_consolidation,7.53%,MA,MORTGAGE,14000,685-689,14,5469,4,5 years
1,1,14550,685,36,debt_consolidation,21.34%,WA,MORTGAGE,4583.33,685-689,7,20141,0,10+ years
1,1,3500,685,36,other,7.14%,NY,RENT,5000,685-689,2,14064,0,1 year
1,1,3900,685,36,debt_consolidation,7.55%,HI,MORTGAGE,2583.33,685-689,8,3724,0,1 year
1,1,8000,685,36,debt_consolidation,7.67%,AL,OWN,7916.67,685-689,4,1442,0,6 years
1,1,4000,685,36,other,10.56%,CA,RENT,1600,685-689,2,299,0,6 years
1,1,8000,685,36,credit_card,29.19%,IL,MORTGAGE,6916.67,685-689,14,21498,2,4 years
1,1,10000,685,36,credit_card,5.80%,CO,RENT,7166.67,685-689,3,15279,1,10+ years
1,1,6000,685,36,wedding,21.21%,GA,RENT,3333.33,685-689,8,4638,0,2 years
1,1,6900,685,36,credit_card,17.78%,AR,OWN,4166.67,685-689,9,9720,1,10+ years
1,1,35000,685,60,debt_consolidation,12.54%,PA,MORTGAGE,10416.67,685-689,14,26487,4,2 years
1,1,30000,685,36,debt_consolidation,14.77%,CO,MORTGAGE,9166.67,685-689,20,22299,1,< 1 year
1,1,27925,685,60,debt_consolidation,3.94%,FL,MORTGAGE,7000,685-689,14,9914,2,n/a
1,1,9000,685,36,credit_card,23.88%,GA,MORTGAGE,4229.17,685-689,11,7496,0,1 year
1,1,6775,685,36,debt_consolidation,10.20%,NC,RENT,6666.67,685-689,14,5457,2,< 1 year
1,1,9600,685,36,credit_card,25.35%,CT,RENT,4750,685-689,11,29475,0,5 years
1,1,6000,685,36,debt_consolidation,21%,WI,RENT,2176.67,685-689,13,4356,1,2 years
1,1,10000,685,36,debt_consolidation,18.72%,CO,RENT,4625,685-689,13,7411,0,2 years
1,1,12500,685,36,debt_consolidation,21.50%,TX,OWN,2083.33,685-689,9,11967,0,6 years
1,1,7000,685,36,medical,22.36%,IL,MORTGAGE,5833.33,685-689,7,28985,1,5 years
1,1,9500,685,36,debt_consolidation,8.82%,CA,RENT,5416.67,685-689,4,7831,0,1 year
1,1,2000,685,36,debt_consolidation,16.66%,CA,OWN,2083.33,685-689,5,2566,1,5 years
1,1,25000,685,36,credit_card,17.95%,MD,RENT,7983.33,685-689,14,28330,0,2 years
1,1,12000,685,60,small_business,18.63%,NY,RENT,4000,685-689,9,11376,0,10+ years
1,1,28000,685,60,debt_consolidation,4.56%,VA,MORTGAGE,10813.17,685-689,8,9397,3,10+ years
1,1,18000,685,36,moving,33.23%,GA,MORTGAGE,5416.67,685-689,10,15626,1,10+ years
1,1,7000,685,36,credit_card,14.74%,TX,RENT,12208.33,685-689,22,25181,3,10+ years
1,1,12000,685,36,debt_consolidation,11.39%,AR,RENT,8333.33,685-689,14,19696,2,6 years
1,1,10550,685,36,debt_consolidation,18.75%,NJ,RENT,5583.33,685-689,7,9533,0,10+ years
1,1,10050,685,36,debt_consolidation,24.59%,MT,MORTGAGE,2500,685-689,9,10421,0,7 years
1,1,18000,685,36,debt_consolidation,23.85%,TX,MORTGAGE,5166.67,685-689,8,24380,0,< 1 year
1,1,7000,685,36,debt_consolidation,13.11%,PA,RENT,4325,685-689,8,8076,4,3 years
1,1,4000,685,60,debt_consolidation,15.82%,WI,MORTGAGE,4721,685-689,18,11319,7,10+ years
1,1,12800,685,60,home_improvement,19.12%,MD,OWN,4166.67,685-689,15,12693,2,5 years
1,1,35000,685,60,debt_consolidation,21.31%,MO,MORTGAGE,7833.33,685-689,14,27610,1,5 years
1,1,5000,685,36,credit_card,11.08%,NJ,RENT,1833.33,685-689,7,5408,0,10+ years
1,1,13450,685,36,debt_consolidation,12.93%,TX,MORTGAGE,3333.33,685-689,5,5407,0,1 year
1,1,10000,685,36,debt_consolidation,16.42%,FL,MORTGAGE,3416.67,685-689,24,16591,0,10+ years
1,1,4000,685,36,car,22.15%,CO,RENT,2000,685-689,16,1625,3,< 1 year
1,1,14400,685,36,debt_consolidation,24.41%,PA,MORTGAGE,5833.33,685-689,9,25515,5,8 years
1,1,20000,685,36,debt_consolidation,21.80%,CA,RENT,6666.67,685-689,20,22990,6,10+ years
1,1,15000,685,36,house,22.69%,FL,MORTGAGE,3750,685-689,12,21016,0,10+ years
1,1,10000,685,36,debt_consolidation,8.11%,CO,OWN,3500,685-689,11,11401,1,10+ years
1,1,6000,685,36,debt_consolidation,22.47%,FL,MORTGAGE,9367,685-689,13,33815,0,1 year
1,1,9000,685,36,credit_card,15.36%,CO,MORTGAGE,7083.33,685-689,19,11077,1,2 years
1,1,10750,685,36,debt_consolidation,14.02%,MI,MORTGAGE,4416.67,685-689,6,11525,0,10+ years
1,1,6000,685,60,home_improvement,11.20%,TX,MORTGAGE,8750,685-689,5,10980,2,6 years
1,1,20000,685,36,credit_card,19.82%,UT,MORTGAGE,6750,685-689,14,21637,0,5 years
1,1,10000,685,36,debt_consolidation,18.75%,TX,RENT,5250,685-689,25,3802,1,3 years
1,1,12700,685,36,debt_consolidation,23.94%,AL,MORTGAGE,3333.33,685-689,14,9655,3,n/a
1,1,8000,685,36,other,23.50%,NJ,RENT,2791.67,685-689,5,27151,0,< 1 year
1,1,17500,685,60,home_improvement,1.78%,NY,RENT,4166.67,685-689,7,3377,3,10+ years
1,1,24000,685,60,debt_consolidation,8.69%,NJ,MORTGAGE,5833.33,685-689,9,23006,0,10+ years
1,1,12300,685,36,debt_consolidation,8.01%,MD,OWN,3083.33,685-689,6,6162,0,9 years
1,1,16000,685,36,debt_consolidation,12.50%,IL,RENT,6750,685-689,12,6799,2,7 years
1,1,19000,685,36,debt_consolidation,15.12%,PA,RENT,3544.67,685-689,21,9503,0,< 1 year
1,1,17300,685,60,wedding,3.58%,PA,MORTGAGE,5500,685-689,11,2306,3,4 years
1,1,17000,685,36,debt_consolidation,17.01%,CO,RENT,3833.33,685-689,6,15484,1,6 years
1,1,24000,685,36,debt_consolidation,15.29%,WA,MORTGAGE,6666.67,685-689,13,17521,0,5 years
0,1,18000,685,36,debt_consolidation,16.71%,NY,MORTGAGE,6666.67,685-689,16,19850,1,6 years
0,1,7500,685,36,credit_card,11.41%,AL,MORTGAGE,3750,685-689,15,5148,7,6 years
0,1,6000,685,36,other,21.45%,MI,RENT,3100,685-689,18,10426,0,2 years
0,1,3000,685,36,small_business,1.70%,NY,MORTGAGE,7750,685-689,7,874,0,10+ years
0,1,11000,685,36,debt_consolidation,7.80%,TX,OWN,3820.27,685-689,7,6844,0,2 years
0,1,5000,685,36,other,13.61%,NY,RENT,3333.33,685-689,10,8436,0,n/a
0,1,4000,685,36,debt_consolidation,23.40%,NC,MORTGAGE,2333.33,685-689,21,3522,0,7 years
0,1,6950,685,36,credit_card,20.71%,IL,OWN,4583.33,685-689,7,18814,0,10+ years
0,1,8000,685,36,debt_consolidation,11.59%,CA,RENT,7000,685-689,7,4729,1,3 years
0,1,5000,685,36,debt_consolidation,20.76%,IL,RENT,2500,685-689,14,14536,4,3 years
0,1,4200,685,36,debt_consolidation,7.49%,TX,MORTGAGE,2750,685-689,12,4898,1,5 years
0,1,10000,685,36,debt_consolidation,5.85%,NY,RENT,4333.33,685-689,8,7072,0,10+ years
0,1,6000,685,36,debt_consolidation,17.86%,CO,MORTGAGE,4980,685-689,10,15280,1,n/a
0,1,3500,685,36,other,10%,NY,RENT,15000,685-689,,,,< 1 year
0,1,10000,685,36,debt_consolidation,8.40%,CA,MORTGAGE,4133.33,685-689,6,11735,2,10+ years
0,1,1500,685,36,other,15.90%,CA,MORTGAGE,5555.08,685-689,16,21774,2,10+ years
0,1,10000,685,36,debt_consolidation,10.22%,IN,RENT,2083.33,685-689,4,6552,4,< 1 year
0,1,9000,685,36,credit_card,12.72%,MI,MORTGAGE,5666.67,685-689,22,36164,1,8 years
0,1,6000,685,36,credit_card,24.57%,CA,RENT,6666.67,685-689,22,6462,0,2 years
0,1,4500,685,36,credit_card,9.73%,CT,RENT,2916.67,685-689,13,4265,0,4 years
0,1,13000,685,36,debt_consolidation,16.20%,NJ,RENT,6932.92,685-689,21,27852,0,9 years
1,1,35000,690,60,debt_consolidation,23.81%,CA,MORTGAGE,11500,690-694,14,21977,1,2 years
1,1,27575,690,36,debt_consolidation,19.63%,CA,MORTGAGE,5166.67,690-694,6,8720,0,10+ years
1,1,12000,690,36,debt_consolidation,18.62%,VA,RENT,5833.33,690-694,16,18838,0,10+ years
1,1,23850,690,60,other,18.75%,NY,MORTGAGE,4250,690-694,23,37251,0,4 years
1,1,10000,690,36,debt_consolidation,10.59%,CA,RENT,2916.67,690-694,9,10390,3,< 1 year
