,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score
11835,25000,15800.0,0.1398,60,debt_consolidation,20.23%,PA,MORTGAGE,5416.67,720-724,13.0,21168.0,2.0,10+ years,720
72655,5000,5000.0,0.1409,36,debt_consolidation,11.18%,AZ,RENT,10625.0,670-674,8.0,8054.0,0.0,1 year,670
51070,10000,10000.0,0.1465,36,debt_consolidation,12.04%,CA,RENT,2791.67,710-714,6.0,12139.0,1.0,3 years,710
3532,20000,13975.0,0.1189,36,home_improvement,2.89%,AL,MORTGAGE,5050.0,740-744,6.0,6863.0,4.0,10+ years,740
19831,10000,10000.0,0.1714,36,debt_consolidation,9.59%,MA,RENT,1658.0,680-684,3.0,4902.0,0.0,< 1 year,680
56446,17000,17000.0,0.09759999999999999,36,debt_consolidation,23.60%,NJ,RENT,5416.67,740-744,16.0,5992.0,4.0,10+ years,740
92839,25000,25000.0,0.22469999999999998,60,credit_card,23.62%,TX,MORTGAGE,5000.0,665-669,16.0,25348.0,1.0,3 years,665
74939,5000,5000.0,0.079,36,debt_consolidation,7.28%,NY,RENT,8666.67,710-714,9.0,4572.0,0.0,1 year,710
59190,6000,6000.0,0.1311,36,credit_card,21.34%,RI,MORTGAGE,5416.67,685-689,19.0,15107.0,2.0,10+ years,685
56692,8000,8000.0,0.1727,36,credit_card,7.32%,NY,RENT,5833.33,670-674,8.0,5350.0,2.0,4 years,670
84593,12000,12000.0,0.1409,36,wedding,15.33%,CA,RENT,8666.67,695-699,10.0,9624.0,1.0,1 year,695
5724,3000,3000.0,0.0894,36,other,13.42%,NY,RENT,4500.0,720-724,9.0,2541.0,2.0,< 1 year,720
15351,5000,5000.0,0.0617,60,major_purchase,11.52%,NY,RENT,1667.0,770-774,6.0,1108.0,0.0,3 years,770
70412,3200,3200.0,0.1016,36,debt_consolidation,16.17%,CA,MORTGAGE,3750.0,705-709,9.0,4283.0,1.0,6 years,705
77240,7625,7625.0,0.18489999999999998,36,credit_card,15.79%,NC,RENT,3166.67,670-674,4.0,8030.0,0.0,5 years,670
27710,3000,3000.0,0.2211,60,other,0%,MN,OWN,1471.0,690-694,3.0,0.0,0.0,6 years,690
25655,5000,5000.0,0.1149,36,home_improvement,6.62%,NC,MORTGAGE,3125.0,730-734,4.0,7187.0,1.0,1 year,730
27832,18500,18500.0,0.12990000000000002,36,debt_consolidation,7.96%,NY,RENT,5000.0,685-689,6.0,13490.0,0.0,10+ years,685
80208,18000,18000.0,0.1409,36,debt_consolidation,15.45%,OR,MORTGAGE,4000.0,690-694,11.0,13877.0,0.0,5 years,690
27425,4200,4200.0,0.1059,36,car,11.53%,GA,RENT,3000.0,695-699,11.0,10067.0,0.0,7 years,695
21033,5000,4975.0,0.0729,36,vacation,2.33%,GA,MORTGAGE,5416.67,725-729,8.0,2937.0,1.0,10+ years,725
34961,19000,19000.0,0.11710000000000001,60,credit_card,13.79%,NJ,MORTGAGE,4791.67,730-734,9.0,16348.0,0.0,5 years,730
38145,15000,15000.0,0.1677,36,debt_consolidation,7.29%,MD,RENT,7916.67,675-679,5.0,5355.0,1.0,6 years,675
77673,18625,18625.0,0.1972,60,credit_card,22.98%,AL,RENT,4000.0,680-684,15.0,26050.0,2.0,9 years,680
51812,6075,6075.0,0.0762,36,debt_consolidation,28.25%,OR,RENT,1083.33,720-724,8.0,11539.0,0.0,n/a,720
94947,12500,12500.0,0.1531,36,debt_consolidation,17.67%,TX,MORTGAGE,3916.67,690-694,7.0,8221.0,3.0,10+ years,690
49573,5000,5000.0,0.1531,36,debt_consolidation,4.91%,CA,RENT,7083.33,665-669,12.0,8225.0,1.0,5 years,665
61720,10000,10000.0,0.12119999999999999,36,credit_card,23.06%,MA,RENT,3083.33,690-694,14.0,13638.0,0.0,3 years,690
42743,8000,8000.0,0.1677,36,credit_card,20.99%,TX,RENT,3750.0,660-664,6.0,4010.0,0.0,5 years,660
50398,20000,19975.0,0.15810000000000002,36,debt_consolidation,21.42%,CO,RENT,5000.0,680-684,12.0,24352.0,1.0,< 1 year,680
40343,9600,9600.0,0.1349,36,credit_card,15.04%,PA,RENT,4250.0,685-689,17.0,7713.0,1.0,1 year,685
52548,3600,3600.0,0.09759999999999999,36,credit_card,11.34%,MI,RENT,2108.33,695-699,14.0,4467.0,0.0,n/a,695
96704,14075,14075.0,0.1875,36,other,12.96%,NY,RENT,3033.33,690-694,6.0,13036.0,0.0,8 years,690
10059,3000,3000.0,0.0751,36,major_purchase,11.31%,CT,RENT,3500.0,735-739,9.0,0.0,2.0,3 years,735
82534,35000,34975.0,0.1016,36,debt_consolidation,25.56%,NY,RENT,9220.0,760-764,12.0,40782.0,1.0,10+ years,760
25767,1700,1700.0,0.0699,36,car,5.20%,VA,RENT,2250.0,750-754,4.0,4527.0,0.0,5 years,750
9244,8800,8800.0,0.0751,36,other,20.73%,PA,MORTGAGE,4833.0,790-794,6.0,306.0,4.0,5 years,790
6045,24250,23985.41,0.12179999999999999,36,debt_consolidation,17.65%,CA,MORTGAGE,8910.42,740-744,16.0,81940.0,0.0,10+ years,740
5073,10750,10166.42,0.1114,36,credit_card,11.91%,MA,MORTGAGE,4416.67,720-724,9.0,12619.0,1.0,2 years,720
38378,6000,6000.0,0.15960000000000002,36,debt_consolidation,24.85%,CA,MORTGAGE,3264.0,660-664,13.0,6347.0,1.0,10+ years,660
99189,15000,15000.0,0.1016,36,credit_card,18.57%,CA,MORTGAGE,5000.0,700-704,13.0,33389.0,0.0,10+ years,700
66604,15000,15000.0,0.1433,36,credit_card,16.38%,MD,MORTGAGE,5500.0,700-704,10.0,12413.0,2.0,3 years,700
87649,10000,10000.0,0.1311,36,credit_card,14.12%,CA,RENT,7500.0,680-684,12.0,3235.0,0.0,6 years,680
58739,5950,5950.0,0.12119999999999999,36,credit_card,21.54%,FL,MORTGAGE,5000.0,690-694,9.0,47746.0,0.0,10+ years,690
28808,10000,10000.0,0.1099,36,debt_consolidation,8.23%,NY,OWN,5833.33,700-704,15.0,11620.0,0.0,< 1 year,700
26877,4000,4000.0,0.1523,36,other,10.73%,MA,RENT,2916.67,670-674,6.0,1651.0,1.0,6 years,670
13309,15000,14675.0,0.0788,36,home_improvement,0.53%,VA,MORTGAGE,10417.0,780-784,8.0,1343.0,1.0,< 1 year,780
6128,10000,9850.0,0.1531,36,debt_consolidation,18.60%,NY,RENT,2500.0,665-669,8.0,9092.0,1.0,< 1 year,665
70785,8875,8875.0,0.1311,36,other,30.46%,TX,OWN,2166.67,700-704,9.0,6797.0,1.0,2 years,700
44672,2400,2400.0,0.1074,36,credit_card,11.20%,NY,RENT,2000.0,705-709,4.0,3055.0,0.0,10+ years,705
13054,25000,24950.0,0.2053,60,debt_consolidation,18.50%,NJ,RENT,8000.0,675-679,9.0,19548.0,0.0,3 years,675
103426,5500,5500.0,0.1607,36,other,19.35%,FL,MORTGAGE,3937.08,685-689,6.0,689.0,8.0,10+ years,685
4545,6000,6000.0,0.1253,36,credit_card,23.07%,PA,RENT,2916.67,685-689,11.0,3334.0,0.0,2 years,685
82722,18000,18000.0,0.1905,60,debt_consolidation,6.28%,MD,MORTGAGE,7500.0,690-694,8.0,20675.0,1.0,10+ years,690
40489,28000,27975.0,0.079,36,small_business,5.81%,WA,MORTGAGE,7000.0,800-804,8.0,771.0,2.0,9 years,800
49956,32000,32000.0,0.1629,60,debt_consolidation,15.14%,AZ,RENT,7055.0,725-729,8.0,16174.0,1.0,6 years,725
69741,6000,6000.0,0.1311,36,credit_card,4.53%,NY,RENT,2625.0,690-694,5.0,4299.0,1.0,10+ years,690
65248,7200,7200.0,0.08900000000000001,60,debt_consolidation,25.16%,LA,MORTGAGE,3750.0,750-754,13.0,7283.0,0.0,6 years,750
75785,11500,11500.0,0.1114,36,debt_consolidation,10.47%,AL,RENT,2916.67,700-704,6.0,9562.0,0.0,< 1 year,700
27764,4800,4800.0,0.0542,36,major_purchase,10.23%,FL,MORTGAGE,6333.33,790-794,13.0,10704.0,0.0,10+ years,790
43707,4000,4000.0,0.1065,36,debt_consolidation,23.40%,NC,MORTGAGE,2333.33,685-689,21.0,3522.0,0.0,7 years,685
35025,15000,15000.0,0.1065,36,other,14.36%,CA,RENT,9083.33,720-724,11.0,26902.0,0.0,3 years,720
28518,15000,15000.0,0.17989999999999998,36,debt_consolidation,21.04%,TX,MORTGAGE,5319.17,675-679,13.0,5613.0,3.0,2 years,675
42228,25000,25000.0,0.1242,36,debt_consolidation,1.05%,CA,MORTGAGE,16666.67,705-709,7.0,2839.0,0.0,10+ years,705
81620,4800,4800.0,0.1875,60,other,27.69%,TX,RENT,1560.0,680-684,9.0,6563.0,0.0,< 1 year,680
37389,9500,9500.0,0.0662,36,debt_consolidation,19.28%,GA,MORTGAGE,3583.33,735-739,8.0,5240.0,0.0,10+ years,735
3204,15000,6200.0,0.1253,36,home_improvement,13.78%,MO,MORTGAGE,8750.0,705-709,8.0,21702.0,3.0,1 year,705
10554,6000,6000.0,0.1398,36,debt_consolidation,7.73%,CO,RENT,6250.0,675-679,6.0,3507.0,0.0,4 years,675
94092,12300,12300.0,0.0603,36,debt_consolidation,7.15%,VA,RENT,6666.67,740-744,10.0,10976.0,0.0,10+ years,740
43387,24000,23950.0,0.0751,36,other,17.95%,PA,OWN,4250.0,755-759,6.0,19509.0,0.0,2 years,755
103784,2000,1975.0,0.1112,36,other,20.50%,NY,MORTGAGE,6833.33,705-709,19.0,20653.0,5.0,5 years,705
54576,14000,14000.0,0.09759999999999999,36,debt_consolidation,22.55%,NJ,MORTGAGE,8750.0,710-714,8.0,25026.0,0.0,10+ years,710
47468,10000,10000.0,0.12119999999999999,36,debt_consolidation,5.95%,NJ,OWN,5000.0,700-704,5.0,10752.0,0.0,4 years,700
2578,13000,8113.74,0.09630000000000001,36,small_business,16.14%,TX,MORTGAGE,3500.0,785-789,6.0,0.0,1.0,1 year,785
73765,5000,5000.0,0.1629,60,other,11.80%,VA,RENT,5416.67,690-694,7.0,8745.0,1.0,4 years,690
36519,6000,5994.0,0.1242,36,credit_card,11.68%,VA,RENT,2500.0,670-674,6.0,9482.0,0.0,2 years,670
90239,10050,10050.0,0.1433,36,debt_consolidation,6.07%,CA,RENT,2916.67,710-714,9.0,7413.0,1.0,6 years,710
45980,4800,4800.0,0.079,36,debt_consolidation,19.07%,OH,RENT,1500.0,720-724,12.0,6813.0,3.0,< 1 year,720
55803,14400,14400.0,0.1074,36,debt_consolidation,5.90%,CA,MORTGAGE,6833.33,700-704,15.0,10017.0,0.0,10+ years,700
98051,11625,11625.0,0.1531,36,debt_consolidation,16.73%,CA,RENT,2833.33,695-699,8.0,17469.0,0.0,10+ years,695
62884,18200,18200.0,0.1016,36,credit_card,7.95%,NY,RENT,4750.0,720-724,13.0,16184.0,2.0,3 years,720
16406,20000,19875.0,0.1335,36,debt_consolidation,15.68%,TX,MORTGAGE,9160.0,710-714,9.0,32392.0,1.0,10+ years,710
37065,9600,9575.0,0.1727,60,credit_card,12.90%,NY,RENT,3333.33,695-699,7.0,13648.0,1.0,10+ years,695
4644,9000,9000.0,0.1183,36,car,0.48%,MD,RENT,4833.0,715-719,6.0,0.0,1.0,4 years,715
57169,35000,35000.0,0.1825,60,debt_consolidation,27.69%,MD,RENT,8083.33,725-729,15.0,29300.0,0.0,10+ years,725
33050,1900,1900.0,0.0751,36,debt_consolidation,19.27%,PA,MORTGAGE,6000.0,735-739,12.0,18397.0,2.0,10+ years,735
46324,20000,19896.51,0.1367,36,debt_consolidation,15.34%,FL,RENT,5166.67,710-714,8.0,12394.0,1.0,6 years,710
20367,2400,2400.0,0.10369999999999999,36,wedding,9.54%,MN,MORTGAGE,3166.67,675-679,6.0,2174.0,0.0,1 year,675
36837,4500,4500.0,0.11710000000000001,36,debt_consolidation,15.87%,CA,MORTGAGE,3333.33,675-679,15.0,11963.0,0.0,6 years,675
68829,12000,12000.0,0.12119999999999999,36,debt_consolidation,19.41%,TX,MORTGAGE,8750.0,710-714,10.0,32028.0,1.0,4 years,710
694,10000,8175.26,0.0863,36,debt_consolidation,5.91%,GA,MORTGAGE,7500.0,730-734,16.0,18343.0,0.0,7 years,730
61873,11575,11575.0,0.079,36,debt_consolidation,17.47%,TX,MORTGAGE,2833.33,730-734,8.0,5654.0,0.0,10+ years,730
94081,20000,20000.0,0.0662,36,credit_card,21.61%,DC,MORTGAGE,8161.33,720-724,14.0,27904.0,1.0,8 years,720
101622,6000,3475.0,0.147,36,debt_consolidation,10.23%,MD,RENT,6500.0,640-644,6.0,4103.0,0.0,1 year,640
21900,2800,2800.0,0.1,36,debt_consolidation,20.32%,CA,RENT,3250.0,700-704,4.0,8717.0,0.0,5 years,700
70285,6000,6000.0,0.1409,36,credit_card,9.93%,CA,RENT,4250.0,680-684,6.0,5815.0,1.0,3 years,680
16069,20000,14750.0,0.0691,36,debt_consolidation,15.16%,CO,RENT,9208.0,735-739,10.0,20965.0,0.0,3 years,735
57923,22000,22000.0,0.1399,60,debt_consolidation,18.28%,MI,MORTGAGE,6083.33,720-724,9.0,20181.0,0.0,8 years,720
99914,10000,10000.0,0.1311,36,debt_consolidation,20.34%,MI,RENT,5416.67,675-679,9.0,8066.0,0.0,10+ years,675
100662,9450,9450.0,0.12119999999999999,36,credit_card,11.74%,IL,MORTGAGE,4666.67,690-694,13.0,17639.0,2.0,10+ years,690
20530,10400,10325.0,0.0766,36,debt_consolidation,13.02%,CA,MORTGAGE,6354.0,725-729,10.0,19656.0,3.0,10+ years,725
20329,15875,15818.07,0.1528,60,debt_consolidation,22.10%,CA,RENT,3000.0,720-724,5.0,14289.0,2.0,2 years,720
53424,18000,18000.0,0.12119999999999999,60,other,14.89%,VA,MORTGAGE,8333.33,730-734,7.0,4038.0,0.0,5 years,730
47764,8000,8000.0,0.08900000000000001,36,other,2.93%,NY,RENT,5000.0,710-714,8.0,5540.0,0.0,2 years,710
94950,12000,12000.0,0.1433,36,moving,20.06%,NY,RENT,4166.67,760-764,8.0,14163.0,0.0,2 years,760
15213,20000,12150.0,0.0654,60,debt_consolidation,12.36%,NY,OWN,5000.0,795-799,9.0,7960.0,2.0,10+ years,795
38976,10000,10000.0,0.1677,36,debt_consolidation,18.55%,CA,RENT,2916.67,660-664,9.0,7565.0,3.0,4 years,660
40113,24500,23475.0,0.19030000000000002,60,debt_consolidation,23.02%,MD,RENT,4497.0,680-684,13.0,18906.0,0.0,10+ years,680
71538,10000,10000.0,0.12119999999999999,36,debt_consolidation,19.58%,CA,RENT,6250.0,695-699,17.0,16348.0,0.0,5 years,695
48972,3600,3600.0,0.079,36,credit_card,26.21%,OH,MORTGAGE,4166.67,735-739,19.0,25.0,2.0,3 years,735
31876,12000,12000.0,0.17489999999999997,60,debt_consolidation,6.94%,OR,MORTGAGE,5445.0,670-674,8.0,4904.0,0.0,9 years,670
48894,6950,6950.0,0.1074,36,credit_card,20.71%,IL,OWN,4583.33,685-689,7.0,18814.0,0.0,10+ years,685
74320,8525,8525.0,0.1016,36,debt_consolidation,26.14%,MT,MORTGAGE,4583.33,705-709,8.0,31398.0,0.0,10+ years,705
65600,5000,5000.0,0.1433,36,credit_card,28.51%,CO,RENT,2750.0,690-694,14.0,5957.0,2.0,3 years,690
38529,4800,4800.0,0.1825,60,debt_consolidation,13.81%,OR,RENT,3750.0,695-699,13.0,16302.0,0.0,10+ years,695
18088,6000,6000.0,0.1335,36,debt_consolidation,21.36%,NV,MORTGAGE,5000.0,665-669,11.0,4363.0,3.0,10+ years,665
47960,4000,4000.0,0.19219999999999998,60,small_business,9.03%,VA,RENT,3700.0,680-684,19.0,2177.0,2.0,2 years,680
48295,14000,14000.0,0.0603,36,debt_consolidation,14.67%,CA,RENT,7500.0,745-749,12.0,16648.0,0.0,10+ years,745
46245,23500,23450.0,0.1465,36,debt_consolidation,19.48%,CA,RENT,4000.0,685-689,7.0,20542.0,0.0,n/a,685
13454,2500,2500.0,0.1595,36,major_purchase,24.07%,CA,MORTGAGE,1500.0,665-669,10.0,2684.0,3.0,1 year,665
16524,2000,2000.0,0.0617,36,major_purchase,2.63%,CA,RENT,1600.0,745-749,9.0,736.0,0.0,3 years,745
92631,24000,23925.0,0.1629,60,credit_card,11.77%,NJ,MORTGAGE,7800.0,675-679,11.0,20676.0,3.0,2 years,675
14193,12800,12800.0,0.1149,60,debt_consolidation,6.72%,CT,MORTGAGE,4166.67,725-729,7.0,11992.0,1.0,1 year,725
51829,8000,8000.0,0.079,36,wedding,21.58%,CA,RENT,5166.67,725-729,5.0,0.0,0.0,1 year,725
31000,3000,3000.0,0.0999,36,credit_card,21.30%,MO,OWN,2333.33,710-714,10.0,3168.0,1.0,1 year,710
86532,7000,7000.0,0.079,36,credit_card,1.41%,FL,RENT,12500.0,725-729,4.0,5093.0,0.0,7 years,725
8102,18000,17975.0,0.1348,36,credit_card,6.24%,IL,MORTGAGE,8333.33,690-694,13.0,14838.0,0.0,10+ years,690
3112,9000,5975.0,0.1411,36,debt_consolidation,8.21%,CA,MORTGAGE,4167.0,670-674,7.0,19696.0,1.0,3 years,670
31448,11000,11000.0,0.1099,36,debt_consolidation,4.26%,SC,MORTGAGE,6666.67,695-699,11.0,4124.0,0.0,4 years,695
51408,6000,6000.0,0.079,36,major_purchase,14.99%,IL,RENT,4416.67,720-724,10.0,2928.0,0.0,2 years,720
6646,6500,6475.0,0.0774,36,debt_consolidation,18%,NH,RENT,1500.0,785-789,5.0,2816.0,0.0,2 years,785
87572,19500,19500.0,0.18489999999999998,36,credit_card,9.79%,MD,RENT,10000.0,675-679,16.0,14957.0,1.0,2 years,675
33225,16000,16000.0,0.1727,60,major_purchase,19.26%,MD,RENT,7000.0,695-699,7.0,5231.0,1.0,10+ years,695
93794,18000,17950.0,0.1433,60,debt_consolidation,13.98%,KS,MORTGAGE,12916.67,685-689,11.0,14890.0,2.0,10+ years,685
54455,30000,29975.0,0.23329999999999998,60,debt_consolidation,17.39%,FL,MORTGAGE,7083.33,665-669,21.0,56145.0,1.0,10+ years,665
93742,10000,10000.0,0.1409,36,debt_consolidation,5.82%,LA,RENT,8750.0,660-664,14.0,11394.0,0.0,3 years,660
12860,16000,15900.0,0.1558,60,debt_consolidation,12.86%,WA,MORTGAGE,5427.42,700-704,11.0,19407.0,1.0,5 years,700
41993,35000,35000.0,0.17579999999999998,36,debt_consolidation,11.80%,MA,MORTGAGE,13333.33,690-694,12.0,21393.0,1.0,10+ years,690
18447,8000,8000.0,0.13720000000000002,36,wedding,9.67%,TX,RENT,7758.33,665-669,6.0,12110.0,1.0,2 years,665
71782,14500,14500.0,0.1311,36,debt_consolidation,28.29%,WA,MORTGAGE,5988.67,700-704,12.0,18020.0,2.0,10+ years,700
7789,12000,11925.0,0.10619999999999999,36,other,19.02%,VA,RENT,5000.0,720-724,9.0,11779.0,0.0,1 year,720
19675,4500,4500.0,0.1343,36,car,1.23%,CA,RENT,11500.0,670-674,5.0,1847.0,1.0,1 year,670
5858,16500,16350.0,0.1183,36,debt_consolidation,17.44%,TX,RENT,4810.08,725-729,7.0,24351.0,1.0,3 years,725
43307,10000,10000.0,0.09910000000000001,36,debt_consolidation,14.32%,MN,MORTGAGE,3666.67,705-709,9.0,17161.0,0.0,1 year,705
88490,35000,35000.0,0.1905,60,credit_card,13.40%,CA,MORTGAGE,9166.67,690-694,7.0,26633.0,0.0,1 year,690
101891,21000,6165.31,0.1109,36,home_improvement,21.28%,CA,OWN,18333.33,745-749,31.0,270800.0,5.0,2 years,745
102234,8400,6725.0,0.1545,36,debt_consolidation,15.71%,MD,RENT,7083.33,640-644,7.0,14578.0,3.0,< 1 year,640
65443,6000,6000.0,0.079,36,credit_card,9.31%,TX,OWN,1750.0,705-709,14.0,5056.0,0.0,6 years,705
47597,12000,12000.0,0.19219999999999998,36,debt_consolidation,14.62%,CT,OWN,4166.67,665-669,3.0,6309.0,0.0,6 years,665
30397,12100,12100.0,0.1689,36,small_business,11.16%,TX,MORTGAGE,6166.67,665-669,5.0,2081.0,0.0,4 years,665
92868,25000,25000.0,0.1409,36,home_improvement,4.79%,MD,MORTGAGE,6833.33,675-679,5.0,8811.0,0.0,8 years,675
89683,16000,15925.0,0.0603,36,debt_consolidation,14.48%,CA,MORTGAGE,7333.33,780-784,11.0,71838.0,1.0,10+ years,780
48006,27000,27000.0,0.1825,36,home_improvement,22.32%,SC,MORTGAGE,8583.33,690-694,9.0,6658.0,1.0,8 years,690
66892,12250,12250.0,0.1875,36,debt_consolidation,17.21%,LA,OWN,2916.67,665-669,7.0,10523.0,0.0,7 years,665
79618,10000,10000.0,0.1777,36,debt_consolidation,22.60%,AZ,RENT,2500.0,665-669,12.0,12938.0,2.0,4 years,665
55180,9175,9175.0,0.1367,36,credit_card,19.43%,IL,MORTGAGE,7083.33,675-679,8.0,25639.0,0.0,8 years,675
75159,14075,14075.0,0.1531,36,debt_consolidation,25.70%,VA,OWN,4000.0,680-684,13.0,11907.0,2.0,5 years,680
48624,13100,13100.0,0.1855,36,debt_consolidation,23.24%,NY,RENT,7968.75,660-664,19.0,19607.0,1.0,10+ years,660
75022,14675,14675.0,0.08900000000000001,36,debt_consolidation,14.95%,NY,MORTGAGE,4000.0,715-719,6.0,12764.0,0.0,7 years,715
5733,5000,4900.0,0.1114,36,major_purchase,2.84%,FL,RENT,3200.0,710-714,6.0,2650.0,2.0,3 years,710
92795,18000,18000.0,0.1311,36,debt_consolidation,26.54%,OR,MORTGAGE,4166.67,670-674,11.0,16680.0,0.0,10+ years,670
94514,12000,12000.0,0.0762,36,debt_consolidation,15.10%,CO,RENT,5666.67,775-779,7.0,12094.0,0.0,10+ years,775
83906,19400,19400.0,0.1433,36,debt_consolidation,16.15%,MA,MORTGAGE,4583.33,680-684,12.0,12434.0,0.0,7 years,680
93318,18000,18000.0,0.12119999999999999,36,debt_consolidation,19.29%,IL,RENT,3333.33,665-669,15.0,26573.0,0.0,10+ years,665
62203,12000,12000.0,0.1777,36,debt_consolidation,9.84%,NY,MORTGAGE,7500.0,665-669,11.0,15866.0,0.0,7 years,665
60969,8000,8000.0,0.1311,36,debt_consolidation,26.11%,MN,MORTGAGE,4166.67,675-679,15.0,11500.0,0.0,< 1 year,675
94593,23750,23750.0,0.1972,60,debt_consolidation,14.22%,CT,RENT,8333.33,710-714,12.0,10549.0,3.0,2 years,710
12932,7500,7475.0,0.1558,36,debt_consolidation,10.74%,VA,MORTGAGE,5000.0,695-699,8.0,8257.0,0.0,2 years,695
37813,5500,5500.0,0.12689999999999999,36,debt_consolidation,21.24%,OH,RENT,1666.67,680-684,7.0,5056.0,1.0,< 1 year,680
70028,16950,16950.0,0.1727,60,debt_consolidation,26.62%,OK,MORTGAGE,3583.33,710-714,7.0,12588.0,3.0,10+ years,710
80138,3000,2950.0,0.1114,36,major_purchase,27.74%,VA,MORTGAGE,4333.33,715-719,6.0,6346.0,0.0,5 years,715
26033,1600,1600.0,0.1349,36,debt_consolidation,12.10%,CA,RENT,3200.0,670-674,5.0,1214.0,0.0,6 years,670
26950,6000,6000.0,0.07490000000000001,36,home_improvement,14.66%,NC,MORTGAGE,5833.33,715-719,12.0,7961.0,0.0,9 years,715
86660,7350,7350.0,0.12119999999999999,36,debt_consolidation,19.85%,CA,OWN,3355.05,695-699,19.0,11626.0,3.0,10+ years,695
97487,12825,12825.0,0.1777,36,debt_consolidation,24.41%,CA,MORTGAGE,3416.67,670-674,15.0,8539.0,1.0,10+ years,670
88522,24000,23975.0,0.21,60,debt_consolidation,23.69%,OK,MORTGAGE,6500.0,685-689,17.0,36555.0,3.0,6 years,685
64166,10000,10000.0,0.18489999999999998,60,debt_consolidation,16.47%,FL,RENT,4104.67,695-699,5.0,7597.0,0.0,5 years,695
68487,5500,5500.0,0.1433,36,debt_consolidation,27.83%,WV,OWN,1541.67,675-679,5.0,10481.0,1.0,n/a,675
15014,17500,17500.0,0.1472,36,debt_consolidation,9.30%,CA,RENT,9519.75,695-699,9.0,31279.0,0.0,10+ years,695
98373,10000,10000.0,0.1311,36,credit_card,19.01%,OH,MORTGAGE,7500.0,680-684,11.0,14426.0,1.0,9 years,680
17664,20000,16275.0,0.0617,36,debt_consolidation,12.27%,MD,MORTGAGE,8083.33,770-774,13.0,29813.0,1.0,10+ years,770
31943,11600,11600.0,0.0699,36,debt_consolidation,8.62%,CA,RENT,5833.33,735-739,8.0,2671.0,1.0,< 1 year,735
29365,12000,12000.0,0.1399,60,debt_consolidation,12.98%,CT,RENT,4166.67,715-719,8.0,2316.0,1.0,3 years,715
1800,13000,6770.1,0.11259999999999999,36,small_business,14.05%,CA,MORTGAGE,7666.67,720-724,8.0,9551.0,0.0,9 years,720
57003,8575,8550.0,0.1727,36,debt_consolidation,9.84%,NY,RENT,2500.0,665-669,6.0,8807.0,2.0,7 years,665
66296,6100,6100.0,0.1409,36,credit_card,9.51%,LA,RENT,6666.67,685-689,10.0,5665.0,2.0,2 years,685
49473,14000,14000.0,0.1531,36,credit_card,14.26%,PA,MORTGAGE,5000.0,680-684,5.0,11249.0,2.0,10+ years,680
92016,10500,10500.0,0.1433,36,debt_consolidation,19.55%,FL,MORTGAGE,5666.67,670-674,7.0,11301.0,0.0,10+ years,670
82922,19600,19525.0,0.21489999999999998,60,small_business,9.76%,CA,RENT,4170.0,675-679,8.0,11669.0,0.0,4 years,675
98272,15000,15000.0,0.158,36,credit_card,10.27%,NV,RENT,3333.33,670-674,11.0,10108.0,0.0,4 years,670
94925,8000,8000.0,0.1727,36,other,5.28%,AZ,MORTGAGE,5833.33,725-729,11.0,12484.0,1.0,10+ years,725
70905,20000,20000.0,0.21489999999999998,36,debt_consolidation,27.47%,TX,MORTGAGE,7750.0,660-664,15.0,26976.0,0.0,2 years,660
6723,11000,10969.64,0.1253,36,debt_consolidation,18.89%,IL,RENT,3500.0,700-704,6.0,6811.0,1.0,2 years,700
102775,6000,5905.66,0.179,36,credit_card,6.60%,MI,RENT,4166.67,675-679,5.0,3433.0,1.0,2 years,675
84633,12000,12000.0,0.1114,36,debt_consolidation,3.11%,CA,MORTGAGE,10833.33,705-709,12.0,11941.0,0.0,2 years,705
58263,17000,17000.0,0.1311,36,debt_consolidation,16.92%,CA,RENT,5083.33,690-694,10.0,8890.0,0.0,7 years,690
69300,6250,6250.0,0.079,36,debt_consolidation,8.45%,IL,RENT,1916.67,720-724,6.0,3295.0,0.0,1 year,720
76916,27825,27825.0,0.2376,60,debt_consolidation,12.86%,CA,RENT,6250.0,665-669,16.0,27093.0,1.0,4 years,665
97076,30000,30000.0,0.1531,36,debt_consolidation,15.42%,NJ,RENT,8333.33,680-684,21.0,29060.0,1.0,8 years,680
2746,4200,3969.9,0.1411,36,home_improvement,4.62%,OH,MORTGAGE,1558.42,675-679,6.0,2255.0,1.0,< 1 year,675
95637,3800,3800.0,0.2198,36,small_business,8.31%,CA,RENT,4333.33,680-684,6.0,4843.0,2.0,7 years,680
53567,2000,2000.0,0.1531,36,moving,21.43%,NC,RENT,2766.67,670-674,5.0,2162.0,3.0,< 1 year,670
77867,6000,6000.0,0.1409,36,debt_consolidation,24.25%,AZ,RENT,4000.0,680-684,12.0,24934.0,1.0,10+ years,680
65121,21000,21000.0,0.1905,60,debt_consolidation,16.24%,TX,RENT,8416.67,685-689,8.0,8764.0,2.0,5 years,685
41900,2500,2500.0,0.1349,36,credit_card,6.24%,NY,RENT,5416.67,680-684,8.0,15373.0,0.0,6 years,680
33269,2400,2400.0,0.1677,36,other,17%,WA,RENT,2700.0,690-694,3.0,3418.0,1.0,3 years,690
